Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-39.2583,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.65853 -1.94646 0.6, 5.5 -2.23 0.6"
1,-41.1131,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.65853 -2.23 0.6, 5.5 -2.23 0.6"
1,-46.1667,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.5 -1.94646 0.6, 5.5 -2.23 0.6"
1,-46.7427,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 5.25388 -1.94646 0.600126, 5.25263 -1.94788 0.600128, 5.5 -2.23 0.6"
1,-50.4428,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 5.65853 -1.94834 0.599698, 5.65748 -1.94646 0.599696, 5.5 -2.23 0.6"
1,-58.1966,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 5.25263 -1.96475 0.6, 5.26762 -1.94646 0.6, 5.5 -2.23 0.6"
1,-58.1966,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.26762 -1.94646 0.6, 5.25263 -1.96475 0.6, 5.5 -2.23 0.6"
1,-59.0359,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 2.40855 -1.94646 0.6, 2.40631 -1.94666 0.6, 5.5 -2.23 0.6"
1,-59.0359,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 2.40631 -1.94666 0.6, 2.40855 -1.94646 0.6, 5.5 -2.23 0.6"
1,-61.1506,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 1.54702 -1.94714 0.6, 1.55655 -1.94646 0.6, 5.5 -2.23 0.6"
1,-61.1506,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 1.55655 -1.94646 0.6, 1.54702 -1.94714 0.6, 5.5 -2.23 0.6"
1,-63.3191,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.15143 0.599956, 5.25263 -1.94741 0.599681, 5.25454 -1.94646 0.59968, 5.65853 -2.14952 0.599406, 5.5 -2.23 0.6"
1,-64.3402,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.5 -2.23 0.0997569, 5.5 -2.23 0.6"
1,-65.5487,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 2.35616 -1.96475 0.6, 2.33182 -1.9668 0.6, 5.5 -2.23 0.6"
1,-65.5487,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 2.33182 -1.9668 0.6, 2.35616 -1.96475 0.6, 5.5 -2.23 0.6"
1,-65.6601,Tx-R-R-R-Rx,5,"5.5 -2.23 0.6, 5.25388 -1.94646 0.100288, 5.25362 -1.94676 0.0997569, 5.25263 -1.94789 0.101752, 5.5 -2.23 0.6"
1,-66.024,Tx-D-R-Rx,4,"5.5 -2.23 0.6, -1.37758 -1.94691 0.117892, -1.36657 -1.94646 0.118664, 5.5 -2.23 0.6"
1,-66.024,Tx-R-D-Rx,4,"5.5 -2.23 0.6, -1.36657 -1.94646 0.118664, -1.37758 -1.94691 0.117892, 5.5 -2.23 0.6"
1,-67.1064,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 2.40631 -1.96069 0.6, 2.55417 -1.94646 0.6, 5.5 -2.23 0.6"
1,-67.3033,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 2.44559 -1.96069 0.117892, 2.40631 -1.95696 0.123937, 2.51682 -1.94646 0.140942, 5.5 -2.23 0.6"
1,-68.0367,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.25263 -1.96475 0.6, 5.5 -2.23 0.6"
1,-68.3051,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 5.65853 -2.23042 0.101909, 5.65785 -2.23042 0.0997569, 5.5 -2.23 0.6"
1,-69.5335,Tx-R-R-R-Rx,5,"5.5 -2.23 0.6, 5.65853 -2.21904 0.6, 1.71545 -1.94646 0.6, 1.54702 -1.9581 0.6, 5.5 -2.23 0.6"
1,-69.5335,Tx-R-R-R-Rx,5,"5.5 -2.23 0.6, 1.54702 -1.9581 0.6, 1.71545 -1.94646 0.6, 5.65853 -2.21904 0.6, 5.5 -2.23 0.6"
1,-69.6457,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.21904 0.582567, 1.71545 -1.94646 0.148971, 1.7056 -1.94714 0.147888, 1.54702 -1.9581 0.165326, 5.5 -2.23 0.6"
1,-69.6457,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 1.54702 -1.9581 0.165326, 1.7056 -1.94714 0.147888, 1.71545 -1.94646 0.148971, 5.65853 -2.21904 0.582567, 5.5 -2.23 0.6"
1,-69.6766,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 1.54702 -1.9668 0.6, 1.81161 -1.94646 0.6, 5.5 -2.23 0.6"
1,-69.7267,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 1.54702 -1.9668 0.148054, 1.54848 -1.96669 0.147888, 1.81161 -1.94646 0.177994, 5.5 -2.23 0.6"
1,-69.8439,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 1.62418 -1.9668 0.147888, 1.54702 -1.96101 0.156544, 1.73995 -1.94646 0.178186, 5.5 -2.23 0.6"
1,-69.9076,Tx-R-R-Rx,4,"5.5 -2.23 0.6, -5.16617 -1.94769 0.6, -5.12014 -1.94646 0.6, 5.5 -2.23 0.6"
1,-70.4308,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 1.54702 -1.9668 2.47563, 1.54837 -1.9667 2.47627, 1.81163 -1.94646 2.35127, 5.5 -2.23 0.6"
1,-70.5175,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 1.55308 -1.9668 2.47627, 1.54702 -1.96634 2.4734, 1.80601 -1.94646 2.35066, 5.5 -2.23 0.6"
1,-71.1775,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 1.54702 -1.95836 2.40394, 1.70551 -1.94741 2.47627, 1.71935 -1.94646 2.46995, 5.65853 -2.21903 0.672344, 5.5 -2.23 0.6"
1,-72.3415,Tx-D-R-Rx,4,"5.5 -2.23 0.6, -1.45207 -1.9668 0.6, -1.39867 -1.96475 0.6, 5.5 -2.23 0.6"
1,-73.3495,Tx-D-R-Rx,4,"5.5 -2.23 0.6, -1.37758 -1.96069 0.6, -1.04889 -1.94646 0.6, 5.5 -2.23 0.6"
1,-73.6119,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 2.40631 -1.96069 0.6, 2.56933 -1.94646 0.6, 5.65853 -2.21616 0.6, 5.5 -2.23 0.6"
1,-73.7865,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, -1.29184 -1.96069 0.117892, -1.37758 -1.95703 0.123828, -1.13027 -1.94646 0.14095, 5.5 -2.23 0.6"
1,-73.8311,Tx-D-R-R-R-Rx,6,"5.5 -2.23 0.6, 2.40631 -1.96069 0.141396, 2.56486 -1.94685 0.117892, 2.56933 -1.94646 0.118554, 5.65853 -2.21616 0.576499, 5.5 -2.23 0.6"
1,-74.7919,Tx-R-D-R-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.1555 0.6, 5.25263 -1.96475 0.6, 5.28683 -1.94646 0.6, 5.65853 -2.14522 0.6, 5.5 -2.23 0.6"
1,-74.8808,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.2236 0.643018, -1.2081 -1.94646 2.50632, -1.21887 -1.94689 2.50925, -1.37758 -1.95331 2.46618, 5.5 -2.23 0.6"
1,-74.9774,Tx-R-R-D-Rx,5,"5.5 -2.23 0.6, 5.65853 -2.21784 0.6, 2.35859 -1.96475 0.6, 2.33182 -1.9668 0.6, 5.5 -2.23 0.6"
1,-74.9774,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 2.33182 -1.9668 0.6, 2.35859 -1.96475 0.6, 5.65853 -2.21784 0.6, 5.5 -2.23 0.6"
1,-75.0146,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 5.49999 -1.9465 0.0997569, 5.49999 -1.94646 0.0998383, 5.5 -2.23 0.6"
1,-75.2483,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 5.25263 -1.96475 0.6, 5.28683 -1.94646 0.6, 5.65853 -2.14522 0.6, 5.5 -2.23 0.6"
1,-75.257,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.5 -2.49554 0.372123, 5.5 -2.23 0.6"
1,-75.3852,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 1.98268 -3.62134 0.609286, -2.23687 -1.94802 0.609288, -2.23295 -1.94646 0.609288, 1.98625 -3.62135 0.609286, 5.5 -2.23 0.6"
1,-75.7166,Tx-R-D-R-Rx,5,"5.5 -2.23 0.6, 2.35616 -1.96475 0.6, 2.33182 -1.9668 0.6, 5.65853 -2.21803 0.6, 5.5 -2.23 0.6"
1,-75.7166,Tx-R-D-R-Rx,5,"5.5 -2.23 0.6, 5.65853 -2.21803 0.6, 2.33182 -1.9668 0.6, 2.35616 -1.96475 0.6, 5.5 -2.23 0.6"
1,-75.8891,Tx-R-D-R-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.2167 0.576188, 2.6074 -1.96069 0.117892, 2.45015 -1.94646 0.140903, 2.40631 -1.95042 0.147317, 5.5 -2.23 0.6"
1,-75.9367,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.21683 0.6, 2.40631 -1.94668 0.6, 2.40903 -1.94646 0.6, 5.65853 -2.21681 0.6, 5.5 -2.23 0.6"
1,-58.7916,Tx-Rx,2,"5.5 -2.23 0.6, 1.8 -7 1.4"
1,-61.6831,Tx-R-Rx,3,"5.5 -2.23 0.6, 2.06931 -7.40635 1.34177, 1.8 -7 1.4"
1,-64.404,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.65853 -2.41825 0.631571, 1.8 -7 1.4"
1,-66.176,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.30343 -1.94646 0.642502, 1.8 -7 1.4"
