Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordiantes
1,-38.7978,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '5.65853 -6.78889 0.718505', '4.64635 -7.40635 0.852194', '-0.258335 -4.41431 1.5']"
1,-39.9718,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.71154 -4.99028 0.282976', '5.65853 -6.78833 0.687605', '4.64559 -7.40635 0.826684', '-0.258335 -4.41431 1.5']"
1,-40.1192,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '0.726905 -4.57263 3.02001', '-0.258335 -4.41431 1.5']"
1,-40.6157,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.3444 -4.70538 0.89244', '-0.258335 -4.41431 1.5']"
1,-40.6897,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.39468 -4.70604 0.707312', '-0.258335 -4.41431 1.5']"
1,-42.4543,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.71154 -4.84483 0.282976', '5.48989 -4.70455 0.679538', '-0.258335 -4.41431 1.5']"
1,-42.9267,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.71154 -4.84448 0.282976', '5.34644 -4.70542 0.850196', '-0.258335 -4.41431 1.5']"
1,-46.5561,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.39468 -4.70607 0.702771', '-0.258335 -4.41431 1.5']"
1,-46.8037,Tx-R-R-D-Rx,5,"['2.48996 -4.85594 0.3', '5.65853 -6.75323 0.553143', '4.56779 -7.40635 0.640284', '1.45557 -5.54281 0.88892', '-0.258335 -4.41431 1.5']"
1,-46.9995,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34309 -4.70516 0.919629', '-0.258335 -4.41431 1.5']"
1,-47.1244,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.27939 -4.83887 0.508569', '0.698483 -4.57438 3.02001', '-0.258335 -4.41431 1.5']"
1,-47.1528,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '5.28096 -6.54036 0.372122', '5.65853 -6.77179 0.439778', '4.62323 -7.40635 0.625292', '-0.258335 -4.41431 1.5']"
1,-47.2741,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.93748 -5.12611 0.282976', '5.28096 -6.54082 0.372122', '5.65853 -6.77222 0.439778', '4.62381 -7.40635 0.625188', '-0.258335 -4.41431 1.5']"
1,-47.3429,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.70507 0.923373', '-0.258335 -4.41431 1.5']"
1,-48.0135,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30877 -4.96217 0.28993', '2.71154 -5.19638 0.282976', '5.65853 -6.92591 0.687605', '4.83989 -7.40635 0.800007', '-0.258335 -4.41431 1.5']"
1,-50.2574,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30556 -5.00081 0.402524', '5.65853 -6.95316 0.799492', '4.88021 -7.40635 0.891639', '-0.258335 -4.41431 1.5']"
1,-50.332,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.28096 -4.71669 0.372122', '5.48989 -4.70609 0.41168', '-0.258335 -4.41431 1.5']"
1,-50.4525,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.93748 -4.83361 0.282976', '5.28096 -4.71666 0.372122', '5.48989 -4.70605 0.41168', '-0.258335 -4.41431 1.5']"
1,-51.3226,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30847 -4.96231 0.305974', '5.65853 -6.92749 0.737625', '4.84221 -7.40635 0.842807', '-0.258335 -4.41431 1.5']"
1,-51.5732,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30938 -4.96184 0.258208', '2.97029 -5.34367 0.131867', '5.65853 -6.92277 0.559275', '4.83528 -7.40635 0.690164', '-0.258335 -4.41431 1.5']"
1,-51.6453,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30861 -4.84775 0.289933', '2.71154 -4.82838 0.282976', '5.48989 -4.69345 0.679538', '-0.258335 -4.41431 1.5']"
1,-51.6546,Tx-R-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.3093 -4.9634 0.262324', '3.27318 -5.52876 0.0997569', '5.65853 -6.92788 0.502069', '4.84278 -7.40635 0.639654', '-0.258335 -4.41431 1.5']"
1,-52.0952,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30153 -4.99641 0.386897', '3.03112 -5.42139 0.282976', '5.65853 -6.95185 0.65722', '4.87826 -7.40635 0.76836', '-0.258335 -4.41431 1.5']"
1,-52.3713,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.70472 0.961968', '-0.258335 -4.41431 1.5']"
1,-52.8492,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30861 -4.84748 0.289836', '2.70882 -4.82764 0.282713', '5.34643 -4.69393 0.850412', '-0.258335 -4.41431 1.5']"
1,-53.1966,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '3.12482 -5.20757 0.0997569', '3.58208 -5.46084 0.243983', '5.65853 -6.74348 0.570264', '4.58542 -7.40635 0.738886', '-0.258335 -4.41431 1.5']"
1,-53.397,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.77697 -5.34367 0.159837', '2.65209 -5.55163 0.0997569', '1.53835 -7.40635 0.635594', '-0.258335 -4.41431 1.5']"
1,-53.6408,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.96519 -5.16843 0.282976', '5.27454 -6.68695 0.365702', '4.20209 -7.40635 0.585568', '-0.258335 -4.41431 1.5']"
1,-53.6856,Tx-R-D-R-R-R-Rx,7,"['2.48996 -4.85594 0.3', '2.30901 -4.96209 0.277714', '2.70882 -5.1941 0.243983', '3.5368 -5.68009 0.0997569', '5.65853 -6.92545 0.469342', '4.83922 -7.40635 0.612059', '-0.258335 -4.41431 1.5']"
1,-53.8418,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.27454 -6.68651 0.365702', '4.20155 -7.40635 0.585677', '-0.258335 -4.41431 1.5']"
1,-54.2229,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '3.2222 -5.27627 0.0997569', '3.33962 -5.34367 0.131867', '5.65853 -6.76691 0.517088', '4.61666 -7.40635 0.690164', '-0.258335 -4.41431 1.5']"
1,-54.2586,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '2.96519 -4.83104 0.282976', '5.27454 -4.71004 0.365702', '-0.258335 -4.41431 1.5']"
1,-54.3758,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.27454 -4.71008 0.365702', '-0.258335 -4.41431 1.5']"
1,-54.6215,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.3083 -4.84755 0.306002', '5.39468 -4.69454 0.727671', '-0.258335 -4.41431 1.5']"
1,-55.0464,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30371 -5.83301 0.404398', '5.49897 -7.40635 0.781972', '5.65853 -7.32778 0.800827', '-0.258335 -4.41431 1.5']"
1,-55.1974,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30863 -4.9619 0.29762', '5.28096 -6.68737 0.372122', '5.65853 -6.90998 0.439778', '4.81661 -7.40635 0.59064', '-0.258335 -4.41431 1.5']"
1,-55.2585,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '1.84404 -4.67421 3.02001', '1.32779 -4.52896 0.846001', '-0.258335 -4.41431 1.5']"
1,-55.267,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30932 -4.96287 0.261682', '3.06328 -5.40289 0.131867', '5.65853 -6.92597 0.548997', '4.83997 -7.40635 0.680563', '-0.258335 -4.41431 1.5']"
1,-55.5305,Tx-R-D-R-R-R-Rx,7,"['2.48996 -4.85594 0.3', '2.30941 -4.96165 0.256555', '2.9719 -5.34367 0.123928', '3.11789 -5.42944 0.0997569', '5.65853 -6.92212 0.520392', '4.83433 -7.40635 0.65685', '-0.258335 -4.41431 1.5']"
1,-55.5382,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '1.84943 -4.67445 3.02001', '1.33881 -4.52978 0.851711', '-0.258335 -4.41431 1.5']"
1,-55.7908,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.77697 -5.3557 0.131867', '2.70892 -5.46875 0.0997569', '1.54264 -7.40635 0.650127', '-0.258335 -4.41431 1.5']"
1,-56.3382,Tx-R-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30915 -4.84764 0.261213', '3.23227 -4.80284 0.0997569', '5.48989 -4.69327 0.494621', '-0.258335 -4.41431 1.5']"
1,-56.3924,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.77697 -5.35937 0.131867', '1.54395 -7.40635 0.68764', '-0.258335 -4.41431 1.5']"
1,-56.5101,Tx-R-R-D-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30448 -5.00149 0.397997', '5.65853 -6.9318 0.372214', '5.64651 -6.93872 0.372122', '4.84837 -7.40635 0.524574', '-0.258335 -4.41431 1.5']"
1,-56.7551,Tx-R-R-D-R-R-Rx,7,"['2.48996 -4.85594 0.3', '2.30923 -4.963 0.266165', '3.43628 -5.62186 0.0997569', '5.28096 -6.70023 0.372122', '5.65853 -6.92207 0.439778', '4.83425 -7.40635 0.587479', '-0.258335 -4.41431 1.5']"
1,-56.8181,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.29781 -4.75592 0.385523', '2.99258 -4.72937 0.282976', '5.48989 -4.63395 0.651574', '-0.258335 -4.41431 1.5']"
1,-57.2269,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.78615 -5.34367 0.214725', '3.45304 -5.7272 0.0997569', '5.65853 -6.99558 0.479971', '4.94428 -7.40635 0.603104', '-0.258335 -4.41431 1.5']"
1,-57.6474,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.77697 -5.40289 0.147039', '2.67782 -5.56607 0.0997569', '1.55965 -7.40635 0.633011', '-0.258335 -4.41431 1.5']"
1,-57.7268,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.35641 -4.69511 1.76629', '-0.258335 -4.41431 1.5']"
1,-57.7308,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '3.19031 -4.36497 0.0997569', '3.30261 -4.28624 0.131867', '5.65853 -6.02685 0.521485', '3.79138 -7.40635 0.830271', '-0.258335 -4.41431 1.5']"
2,-38.4485,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '5.65853 -6.9057 0.742864', '4.88461 -7.40635 0.851033', '0.241393 -4.40264 1.5']"
2,-39.6557,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.71154 -4.99824 0.282976', '5.65853 -6.90502 0.71178', '4.88371 -7.40635 0.824521', '0.241393 -4.40264 1.5']"
2,-39.7064,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '1.04748 -4.56514 3.02001', '0.241393 -4.40264 1.5']"
2,-40.1012,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.34345 -4.69169 0.912179', '0.241393 -4.40264 1.5']"
2,-40.1842,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.39468 -4.69253 0.732571', '0.241393 -4.40264 1.5']"
2,-42.4698,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.71154 -4.84345 0.282976', '5.34547 -4.69174 0.870247', '0.241393 -4.40264 1.5']"
2,-45.9963,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34309 -4.69162 0.919629', '0.241393 -4.40264 1.5']"
2,-46.2231,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.7061 -5.26216 0.281014', '1.67951 -7.40635 0.788745', '0.241393 -4.40264 1.5']"
2,-46.6475,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.69154 0.923373', '0.241393 -4.40264 1.5']"
2,-46.667,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.39468 -4.69277 0.702771', '0.241393 -4.40264 1.5']"
2,-47.3357,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '5.28096 -6.63927 0.372122', '5.65853 -6.88497 0.445613', '4.8573 -7.40635 0.601564', '0.241393 -4.40264 1.5']"
2,-47.4133,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.93748 -5.14197 0.282976', '5.28096 -6.63974 0.372122', '5.65853 -6.88541 0.445613', '4.85788 -7.40635 0.601452', '0.241393 -4.40264 1.5']"
2,-47.5959,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30878 -4.9682 0.28993', '2.71154 -5.21575 0.282976', '5.65853 -7.0459 0.71178', '5.07811 -7.40635 0.796235', '0.241393 -4.40264 1.5']"
2,-48.503,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.70683 -5.23805 0.244702', '2.77697 -5.37725 0.203114', '2.60267 -5.72321 0.0997569', '1.75469 -7.40635 0.602615', '0.241393 -4.40264 1.5']"
2,-49.779,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30578 -5.00805 0.402098', '5.65853 -7.07326 0.821831', '5.11777 -7.40635 0.88953', '0.241393 -4.40264 1.5']"
2,-49.8256,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.28052 -4.84209 0.50784', '1.01008 -4.5683 3.02001', '0.241393 -4.40264 1.5']"
2,-50.5068,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.28096 -4.70464 0.372122', '5.48989 -4.69308 0.415303', '0.241393 -4.40264 1.5']"
2,-50.6219,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.77697 -5.40289 0.141324', '2.70387 -5.54725 0.0997569', '1.76244 -7.40635 0.635086', '0.241393 -4.40264 1.5']"
2,-50.6678,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.93748 -4.83168 0.282976', '5.28096 -4.7046 0.372122', '5.48989 -4.69304 0.415303', '0.241393 -4.40264 1.5']"
2,-50.896,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30848 -4.96835 0.305973', '5.65853 -7.0477 0.762228', '5.0807 -7.40635 0.840924', '0.241393 -4.40264 1.5']"
2,-51.1507,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30943 -4.96797 0.256179', '2.92412 -5.34367 0.131867', '5.65853 -7.04317 0.590804', '5.0742 -7.40635 0.688878', '0.241393 -4.40264 1.5']"
2,-51.3606,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.7061 -5.27015 0.245683', '1.68175 -7.40635 0.766992', '0.241393 -4.40264 1.5']"
2,-51.3792,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.69115 0.961968', '0.241393 -4.40264 1.5']"
2,-51.3845,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.70683 -5.26325 0.281995', '1.68024 -7.40635 0.789167', '0.241393 -4.40264 1.5']"
2,-51.4633,Tx-R-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30935 -4.96963 0.2606', '3.21256 -5.53017 0.0997569', '5.65853 -7.04816 0.535331', '5.08136 -7.40635 0.638113', '0.241393 -4.40264 1.5']"
2,-51.7702,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30208 -5.00313 0.387886', '2.99835 -5.43223 0.282976', '5.65853 -7.07163 0.683792', '5.11539 -7.40635 0.765629', '0.241393 -4.40264 1.5']"
2,-52.371,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.29016 -5.75729 0.335508', '2.30107 -5.82916 0.344078', '5.32213 -7.40635 0.742059', '5.65853 -7.23073 0.786375', '0.241393 -4.40264 1.5']"
2,-52.5883,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30861 -4.8467 0.289836', '2.70882 -4.82514 0.282713', '5.34546 -4.67964 0.87047', '0.241393 -4.40264 1.5']"
2,-53.3204,Tx-R-R-D-Rx,5,"['2.48996 -4.85594 0.3', '5.65853 -6.83615 0.475515', '4.74614 -7.40635 0.526054', '2.29082 -5.87189 0.662057', '0.241393 -4.40264 1.5']"
2,-53.6677,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '3.08873 -5.20757 0.0997569', '3.52 -5.46084 0.243983', '5.65853 -6.86165 0.599484', '4.82697 -7.40635 0.737719', '0.241393 -4.40264 1.5']"
2,-53.7188,Tx-R-R-R-D-Rx,6,"['2.48996 -4.85594 0.3', '2.77094 -5.03159 0.282976', '5.65853 -6.83673 0.457929', '4.74734 -7.40635 0.513136', '2.29073 -5.87064 0.661973', '0.241393 -4.40264 1.5']"
2,-53.719,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.96519 -5.18835 0.282976', '5.27454 -6.80363 0.365702', '4.43338 -7.40635 0.555271', '0.241393 -4.40264 1.5']"
2,-53.7505,Tx-R-D-R-R-R-Rx,7,"['2.48996 -4.85594 0.3', '2.30902 -4.96804 0.277714', '2.70882 -5.21312 0.243983', '3.49014 -5.69842 0.0997569', '5.65853 -7.04529 0.500031', '5.07723 -7.40635 0.607336', '0.241393 -4.40264 1.5']"
2,-53.8506,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.27454 -6.80317 0.365702', '4.43285 -7.40635 0.555391', '0.241393 -4.40264 1.5']"
2,-54.1966,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.3083 -4.84678 0.306002', '5.39468 -4.68041 0.753245', '0.241393 -4.40264 1.5']"
2,-54.3129,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '2.96519 -4.82881 0.282976', '5.27454 -4.69698 0.365702', '0.241393 -4.40264 1.5']"
2,-54.4631,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.27454 -4.69702 0.365702', '0.241393 -4.40264 1.5']"
2,-54.4998,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '3.18058 -5.27627 0.0997569', '3.29132 -5.34367 0.131867', '5.65853 -6.88435 0.547916', '4.8565 -7.40635 0.688878', '0.241393 -4.40264 1.5']"
2,-54.5217,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.77697 -5.34367 0.154651', '2.68131 -5.53479 0.0997569', '1.74466 -7.40635 0.637296', '0.241393 -4.40264 1.5']"
2,-54.8099,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30936 -4.96906 0.259856', '3.01203 -5.40289 0.131867', '5.65853 -7.04626 0.580893', '5.07863 -7.40635 0.679284', '0.241393 -4.40264 1.5']"
2,-54.9042,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30371 -5.83301 0.408687', '5.31903 -7.40635 0.783823', '5.65853 -7.22921 0.82606', '0.241393 -4.40264 1.5']"
2,-55.2754,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30864 -4.96786 0.29762', '5.28096 -6.79073 0.372122', '5.65853 -7.02656 0.445613', '5.05046 -7.40635 0.563968', '0.241393 -4.40264 1.5']"
2,-55.3878,Tx-R-D-R-R-R-Rx,7,"['2.48996 -4.85594 0.3', '2.30946 -4.96777 0.25443', '2.92566 -5.34367 0.123928', '3.06396 -5.42964 0.0997569', '5.65853 -7.04254 0.553224', '5.07329 -7.40635 0.65551', '0.241393 -4.40264 1.5']"
2,-56.3616,Tx-R-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30919 -4.84688 0.259358', '3.17165 -4.80142 0.0997569', '5.48989 -4.67924 0.528753', '0.241393 -4.40264 1.5']"
2,-56.5309,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.29742 -4.75519 0.3836', '2.94203 -4.72826 0.282976', '5.48989 -4.62184 0.680702', '0.241393 -4.40264 1.5']"
2,-56.6576,Tx-R-R-D-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30481 -5.00882 0.397995', '5.65853 -7.04709 0.372214', '5.64651 -7.05439 0.372122', '5.07959 -7.40635 0.49042', '0.241393 -4.40264 1.5']"
2,-56.8227,Tx-R-R-D-R-R-Rx,7,"['2.48996 -4.85594 0.3', '2.30924 -4.96899 0.266164', '3.43628 -5.66491 0.0997569', '5.28096 -6.80395 0.372122', '5.65853 -7.03891 0.445613', '5.06809 -7.40635 0.560537', '0.241393 -4.40264 1.5']"
2,-56.8652,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.78615 -5.34367 0.21121', '3.39732 -5.7172 0.0997569', '5.65853 -7.09921 0.512119', '5.15599 -7.40635 0.603763', '0.241393 -4.40264 1.5']"
2,-57.0474,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.35641 -4.68098 1.76629', '0.241393 -4.40264 1.5']"
2,-57.3407,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.32779 -5.66008 0.0997569', '2.29487 -5.82332 0.140407', '5.3254 -7.40635 0.609648', '5.65853 -7.23234 0.661229', '0.241393 -4.40264 1.5']"
3,-38.1031,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '5.65853 -7.02646 0.770236', '5.10396 -7.40635 0.852539', '0.741157 -4.41777 1.5']"
3,-39.3461,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.71154 -5.00642 0.282976', '5.65853 -7.02564 0.73903', '5.1029 -7.40635 0.825016', '0.741157 -4.41777 1.5']"
3,-39.5008,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '1.36809 -4.57485 3.02001', '0.741157 -4.41777 1.5']"
3,-39.6519,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.39468 -4.68754 0.761174', '0.741157 -4.41777 1.5']"
3,-41.3212,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.7061 -4.81835 0.281014', '0.741157 -4.41777 1.5']"
3,-41.4902,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.71154 -4.84323 0.282976', '5.39468 -4.68763 0.728062', '0.741157 -4.41777 1.5']"
3,-41.9955,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.71154 -4.84308 0.282976', '5.34437 -4.6866 0.893093', '0.741157 -4.41777 1.5']"
3,-43.8065,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.70683 -4.81825 0.281995', '0.741157 -4.41777 1.5']"
3,-44.1386,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.7061 -5.3311 0.281014', '1.90083 -7.40635 0.780579', '0.741157 -4.41777 1.5']"
3,-45.9417,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.6866 0.923373', '0.741157 -4.41777 1.5']"
3,-46.2997,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34309 -4.68668 0.919629', '0.741157 -4.41777 1.5']"
3,-46.8506,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.39468 -4.68806 0.702771', '0.741157 -4.41777 1.5']"
3,-47.1722,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30879 -4.97435 0.28993', '2.71154 -5.2355 0.282976', '5.65853 -7.16888 0.73903', '5.29656 -7.40635 0.795046', '0.741157 -4.41777 1.5']"
3,-47.5704,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '5.28096 -6.74055 0.372122', '5.65853 -7.00114 0.452549', '5.0714 -7.40635 0.577614', '0.741157 -4.41777 1.5']"
3,-47.6639,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.93748 -5.15821 0.282976', '5.28096 -6.74103 0.372122', '5.65853 -7.00159 0.452549', '5.07198 -7.40635 0.577492', '0.741157 -4.41777 1.5']"
